timestamp,ch1 - AF7,ch2 - AF8,ch3 - TP9,ch4 - TP10
1731709443.1611884,-115.2450171,-113.2198613,-77.5543054,150.4739397
1731709443.1722021,-392.0481025,-434.1986450,-481.2409765,916.8916377
1731709443.1728904,-638.6645854,-712.5874479,-897.1702102,1305.5579356
1731709443.1864901,-892.9871321,-958.1791982,-1114.0881476,1251.4808522
1731709443.2022047,-668.9746046,-723.8875556,-889.4099178,1913.2729789
1731709443.2029381,-646.6922806,-710.7605068,-728.7382059,2218.3356833
1731709443.2165756,-198.5830778,-287.3776525,-265.7984298,1868.6765419
1731709443.2322807,44.4487110,-62.9425163,-43.0873874,2239.6465683
1731709443.2328951,1.3239246,-128.1663715,-89.9726432,2215.0137172
1731709443.2463851,140.0405538,33.1373836,35.5589688,2298.3947867
1731709443.2623100,-15.6477414,-113.0160368,-87.2705655,2097.3228055
1731709443.2629683,45.4771835,-46.4589072,-24.8385456,2105.2102545
1731709443.2764952,3.3864794,-21.7942670,-32.5969680,2036.4110549
1731709443.2920911,-74.3230318,-134.3166370,-103.2118890,1935.5085541
1731709443.2929308,-55.0139283,-111.7725200,-33.4739746,1443.7752882
1731709443.3065383,-228.8706576,-305.6208845,-183.6197381,1093.1858467
1731709443.3221228,-155.7443938,-266.7764136,-247.7608923,956.9992598
1731709443.3228033,-437.3569905,-361.7680025,-317.5305959,1027.2065317
1731709443.3363740,-1082.9927494,-649.5925731,-620.3858243,781.6260011
1731709443.3521292,-1175.5421836,-591.9438852,-620.1315112,698.2112725
1731709443.3529313,-1381.9248228,-779.9206067,-820.2385982,527.7073635
1731709443.3664043,-1230.5336726,-776.9324266,-844.3347736,664.9130732
1731709443.3820698,-1393.8513637,-856.2201757,-914.9609143,510.4028465
1731709443.3828480,-1919.3185272,-1224.3329184,-1247.9746960,369.0206035
1731709443.3962860,-1821.7594970,-1288.6535878,-1390.1432529,299.4313501
1731709443.4119964,-2131.5354103,-1498.4731950,-1678.7251532,-115.1253403
1731709443.4126897,-2217.4708315,-1312.0728414,-1524.7497321,336.0393608
1731709443.4262991,-2240.2486922,-1372.0963657,-1490.0752497,638.9170286
1731709443.4419999,-2446.5359639,-1540.6592665,-1571.6480776,853.5311876
1731709443.4427271,-2086.0993657,-1225.2136649,-1275.1301096,1219.0858388
1731709443.4563248,-2037.4769264,-1482.4477237,-1486.7542185,1297.7639841
1731709443.4720471,-1901.8775038,-1297.3787744,-1335.0713561,1444.5494475
1731709443.4726861,-1878.8752491,-1274.4307483,-1182.7265314,1554.8933258
1731709443.4863076,-1818.4403358,-1310.9134724,-1224.7742266,1680.9017750
1731709443.5019898,-1525.0694936,-1013.8083401,-1035.7054543,2005.1118322
1731709443.5026965,-1744.9999203,-1174.7848539,-1099.7736805,2003.8496160
1731709443.5163088,-1823.1376501,-1105.8173588,-1050.5191981,2005.8093235
1731709443.5319750,-1977.2439677,-1166.1419451,-1135.1811833,1867.0197662
1731709443.5326831,-2207.2029361,-1274.6682319,-1249.0050385,1664.0441759
1731709443.5462873,-2349.8782495,-1124.7880013,-1096.6396443,1718.6130562
1731709443.5620124,-2645.6108385,-1234.5110562,-1178.4798750,1473.6963578
1731709443.5626736,-2168.4332633,-1039.0115259,-1070.2883092,1764.8625290
1731709443.5762663,-2297.6963604,-853.5854161,-865.4390290,2042.9315705
1731709443.5919969,-3016.1077675,-772.9943120,-686.2005838,2195.4129015
