,ch1 - AF7,ch2 - AF8,ch3 - TP9,ch4 - TP10,timestamp
0,-2428.696641074959,-2453.482828031294,-1190.5560119943693,-3822.3030413636006,1731806988.9431815
1,-2533.9785647275858,-2743.796301991679,-1626.669485727325,-3457.043842241168,1731806988.9431815
2,-2329.090015605092,-2425.6411428111605,-1282.9371507498436,-3515.528397748247,1731806988.9440012
3,-1855.3082695184276,-2750.0942935170606,-1398.3298939326778,-3315.440010218881,1731806988.9440012
4,-2334.4249828918837,-2582.6851518005133,-1515.2354266475886,-3164.13861761149,1731806988.944662
5,-2107.732817027718,-2253.2205351539887,-1162.1645614807494,-3226.2209568759426,1731806988.944662
6,-2131.9449293408543,-1990.406545567792,-1580.4144030753523,-2824.645459233783,1731806988.9567764
7,-2299.8234285018407,-1504.0923947296105,-1349.4793207114562,-2887.7431813362055,1731806988.9567764
8,-1871.2365034297109,-1094.69115643017,-972.9518030225299,-2907.6768481000327,1731806988.971843
9,-1390.451794676017,-1370.0076315682381,-1117.5512949093245,-2435.187237448059,1731806988.971843
10,-1638.9513171818107,-1743.6142873917706,-1580.7958728708327,-2233.0493847429752,1731806989.0038936
11,-1676.7392663341016,-1871.3169112787582,-1773.5615362869576,-2622.597364127636,1731806989.0038936
12,-1287.0173816015013,-2319.1699309726246,-2133.0519397277385,-2410.958295585122,1731806989.0046191
13,-1056.5871857316233,-2017.4834212469868,-1810.2237755525857,-2737.4571715667844,1731806989.0046191
14,-1415.3838377306238,-1632.6177966068499,-1557.9899629410356,-3213.1743158805184,1731806989.0055184
15,-1077.2912718863226,-1220.505130839534,-1113.4673241577111,-3180.7886522142217,1731806989.0055184
16,-1401.450840445701,-1437.6998207662255,-1272.3120949757285,-3473.626558644697,1731806989.0062444
17,-1368.3789051375352,-1547.071325020399,-1432.0787511328235,-2983.7782023483887,1731806989.0062444
18,-1504.9862308190204,-1533.5553265805356,-1148.672872390598,-3122.2105992082506,1731806989.0169375
19,-1384.724137893878,-1454.361075068824,-1311.0593284666538,-3576.7542999228463,1731806989.0169375
20,-1552.5502784554847,-1652.5813825703226,-1437.3987588197924,-4056.372159890365,1731806989.0319252
21,-1477.6475621429272,-1690.182336724829,-1512.8325409260578,-4319.025333778467,1731806989.0319252
22,-1340.6456770161167,-1479.725076568313,-1344.2135415738449,-4541.43344424339,1731806989.0475502
23,-989.570048475638,-995.4304717062041,-1699.6555033125915,-4592.039900493808,1731806989.0475502
